FK_STANDORT,DATUM,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT,OST,NORD
2989,2026-01-01T00:00,2,2,,,2682278,1248324
5002,2026-01-01T00:00,0,1,,,2682873,1245891
2993,2026-01-01T00:00,0,0,,,2683573,1248545
2997,2026-01-01T00:00,1,0,,,2682933,1248821
4258,2026-01-01T00:00,0,,,,2682683,1250569
3012,2026-01-01T00:00,0,0,,,2682647,1250364
4242,2026-01-01T00:00,3,0,,,2682337,1248451
4270,2026-01-01T00:00,0,0,,,2684006,1246566
4241,2026-01-01T00:00,1,0,,,2682297,1248328
3015,2026-01-01T00:00,,,80,36,2683023,1244140
4246,2026-01-01T00:00,,,7,3,2682147,1249212
4255,2026-01-01T00:00,0,0,,,2682881,1246549
4262,2026-01-01T00:00,0,0,,,2682731,1247708
4267,2026-01-01T00:00,1,,,,2683457,1247065
4266,2026-01-01T00:00,1,4,,,2681301,1247665
4269,2026-01-01T00:00,0,1,,,2682227,1244618
4249,2026-01-01T00:00,4,3,,,2682296,1248311
4259,2026-01-01T00:00,1,0,,,2682375,1247055
732,2026-01-01T00:00,0,0,,,2681319,1248665
1037,2026-01-01T00:00,0,0,,,2681339,1248647
4272,2026-01-01T00:00,0,,,,2682834,1247926
4273,2026-01-01T00:00,0,0,,,2682971,1248179
3279,2026-01-01T00:00,,,0,0,2683437,1247199
2997,2026-01-01T00:15,0,0,,,2682933,1248821
2989,2026-01-01T00:15,6,2,,,2682278,1248324
4242,2026-01-01T00:15,1,0,,,2682337,1248451
4266,2026-01-01T00:15,2,4,,,2681301,1247665
4241,2026-01-01T00:15,3,0,,,2682297,1248328
4269,2026-01-01T00:15,0,0,,,2682227,1244618
3012,2026-01-01T00:15,0,2,,,2682647,1250364
3015,2026-01-01T00:15,,,42,25,2683023,1244140
4249,2026-01-01T00:15,1,1,,,2682296,1248311
4259,2026-01-01T00:15,0,1,,,2682375,1247055
2993,2026-01-01T00:15,0,2,,,2683573,1248545
732,2026-01-01T00:15,1,2,,,2681319,1248665
4246,2026-01-01T00:15,,,6,6,2682147,1249212
4258,2026-01-01T00:15,3,,,,2682683,1250569
1037,2026-01-01T00:15,2,4,,,2681339,1248647
4272,2026-01-01T00:15,2,,,,2682834,1247926
4255,2026-01-01T00:15,0,0,,,2682881,1246549
